id,ra,dec,f606w
0000512,265.177514,-53.679805,15.4897 
0000537,265.176449,-53.679244,16.3768 
0000538,265.176243,-53.679227,16.7952 
0000541,265.180364,-53.679146,16.2903 
0000545,265.174344,-53.679111,16.4113 
0000547,265.172904,-53.67907,16.6581 
0000553,265.177704,-53.678934,16.777 
0000556,265.174971,-53.678707,15.893 
0000558,265.182619,-53.678672,14.1072 
0000563,265.180533,-53.678623,16.5392 
0000565,265.182468,-53.678591,16.0556 
0000568,265.177548,-53.678549,13.5615 
0000569,265.173786,-53.678535,15.1997 
0000570,265.175906,-53.678425,16.0538 
0000572,265.171457,-53.678417,16.0887 
0000579,265.176392,-53.678242,15.5459 
0000585,265.170093,-53.678169,16.1946 
0000587,265.174568,-53.678132,16.4496 
0000588,265.175532,-53.678126,16.3727 
0000594,265.183897,-53.678007,15.3434 
0000596,265.169611,-53.677944,15.9618 
0000597,265.175789,-53.67794,15.586 
0000601,265.173413,-53.677797,14.7863 
0000603,265.166275,-53.677743,12.7732 
0000608,265.170951,-53.677605,16.7005 
0000611,265.175094,-53.677569,16.1797 
0000613,265.179498,-53.677437,15.2965 
0000614,265.173681,-53.677396,15.7605 
0000616,265.171551,-53.677352,16.7 
0000617,265.181497,-53.677121,16.3176 
0000626,265.172371,-53.677035,16.6773 
0000627,265.17511,-53.67702,16.4022 
0000628,265.16989,-53.677023,16.7586 
0000629,265.175945,-53.677003,16.5958 
0000631,265.186052,-53.676949,16.579 
0000634,265.17403,-53.676914,16.3407 
0000635,265.170724,-53.676867,15.8615 
0000636,265.171578,-53.676822,16.3925 
0000639,265.181579,-53.676791,14.5135 
0000640,265.17889,-53.676765,16.5482 
0000642,265.168891,-53.676758,16.1661 
0000643,265.185323,-53.676713,16.7469 
0000645,265.181126,-53.67668,12.4816 
0000646,265.16714,-53.676669,16.6244 
0000648,265.170825,-53.676606,16.3657 
0000653,265.17802,-53.676507,14.3627 
0000654,265.175011,-53.676473,16.2526 
0000656,265.175142,-53.67641,16.4946 
0000657,265.175781,-53.676398,16.1553 
0000658,265.175012,-53.676393,16.5566 
0000662,265.168414,-53.676345,16.4496 
0000664,265.180814,-53.676274,13.7637 
0000669,265.180565,-53.676207,16.7235 
0000670,265.172083,-53.676207,15.873 
0000671,265.167623,-53.676174,16.1422 
0000676,265.169582,-53.676088,16.6781 
0000677,265.177453,-53.67608,16.5445 
0000679,265.170493,-53.676049,16.0946 
0000680,265.17375,-53.675993,15.711 
0000682,265.166552,-53.675921,16.6076 
0000683,265.168906,-53.675895,16.2962 
0000685,265.180766,-53.675886,16.8064 
0000688,265.176787,-53.67585,16.3883 
0000694,265.164465,-53.675752,16.7363 
0000696,265.187292,-53.675698,16.6618 
0000698,265.167861,-53.675668,13.8001 
0000699,265.184439,-53.675658,15.1762 
0000700,265.177389,-53.675664,14.4922 
0000705,265.176432,-53.675498,14.4567 
0000708,265.167333,-53.675471,15.1061 
0000709,265.181939,-53.675432,16.7 
0000710,265.172802,-53.675432,16.0356 
0000711,265.176839,-53.675424,16.5061 
0000712,265.174562,-53.675332,15.4587 
0000713,265.167983,-53.67532,16.7676 
0000714,265.174192,-53.675316,17.1495 
0000718,265.185186,-53.675256,14.2939 
0000720,265.171181,-53.675245,16.4887 
0000726,265.177714,-53.675144,16.1924 
0000727,265.172363,-53.675152,16.7138 
0000728,265.173014,-53.675118,16.2373 
0000729,265.17444,-53.675056,16.4239 
0000730,265.176807,-53.675044,15.159 
0000731,265.17876,-53.674997,16.6292 
0000732,265.163414,-53.675012,-99.9999 
0000733,265.169919,-53.674965,12.1923 
0000735,265.176536,-53.674921,16.4644 
